"bspl4.1","bspl4.2","bspl4.3","bspl4.4","bspl4.5","bspl4.6"
1126.16341886535,1154.09469216421,828.114417149109,1960.32892097536,1179.82134610626,1417.81093653844
1142.58826173482,1185.23596149796,874.952665867972,1976.43697554444,1231.73182808851,1482.39023575346
1174.40149642089,1249.94968164844,823.740782959165,2061.78556427348,1294.59264636797,1462.75740729767
1145.58955226029,1215.99175121874,899.510834897619,1800.29648332843,1204.014326858,1365.49578137479
1200.86368427097,1237.65687830066,933.791072733425,1966.39394729898,1247.57785785612,1431.44785464508
1106.84900202151,1105.71304109365,1073.4738624747,1743.61475915815,1203.39036311754,1390.41607201282
1081.39520944049,1239.30246387481,819.37575281862,1798.4322213345,1181.00503951811,1371.85559396035
1270.83072339417,1429.99264808274,1040.95036198667,1961.81917260219,1339.02004247749,1457.65959532716
1184.10823507364,1274.0909821729,886.904053805058,1679.50259148566,1194.19378069174,1380.28114484412
1161.48671100929,1363.43097337455,893.862724599293,1716.30239657279,1247.44180645521,1371.64615115024
1174.56463621201,1314.34468329121,923.377840257657,1673.2605166807,1148.94617249877,1362.12194813164
961.589428559369,1086.69790684285,712.564895277102,1501.63803797207,1092.18105675542,1255.39932973758
997.654015273138,1149.17512280926,683.632261419052,1512.21219882635,1118.2671988334,1285.457757854
1002.78181698941,1094.30712062285,840.99476788112,1494.18580943709,1074.41008342213,1284.43403626434
967.219963042543,1097.66936469065,733.745534274518,1400.92265423581,1062.74573113713,1259.77191079494
1049.09550065473,1186.41708044572,829.523319084876,1557.55897827578,1166.93076183076,1282.96150801691
1108.85109682434,1144.45904807636,1024.65529709519,1262.76437428003,1024.74592532427,1226.85732601628
1002.22266215735,1049.80220154626,868.219947399172,1338.52306268277,989.485730304448,1182.69428059979
1126.52161381618,1228.67930177182,1217.87835192766,1315.0091473869,1076.05397737561,1253.87512400463
1019.38698277949,1041.96382484914,987.948442165915,1237.40273690912,1068.99252396976,1213.54798759397
1230.80587341165,1275.98144938636,1229.26791588743,1302.57114139554,1082.38236973012,1276.23832461727
1134.15756627025,1179.89750142589,1095.09363924249,1258.88509608504,1097.23701257174,1259.55687034653
1155.92245690896,1193.95262641929,1198.86926835237,1204.86415976798,1138.00341214877,1248.22268809637
1135.20468400252,1167.65025478853,1106.21200284601,1175.29398770119,1096.52742416873,1268.29348095112
1123.86659141549,1140.76101604778,1039.24274353672,1093.29349124513,1103.86720841892,1208.13046906854
1135.00297354503,1180.53076967053,1267.95254485754,1267.58835133155,1128.07985983336,1200.07621946952
1112.84710142481,1110.93654762039,1190.49412138031,1131.6154558196,1090.17315916832,1206.43306174156
1501.00205513864,1556.71916088358,1698.68366605607,1631.89560813607,1326.07345928594,1427.19572601567
1157.46594008423,1142.30108950554,1162.29169775638,1193.7061380398,1142.69597209587,1271.1614410904
1083.5171280093,1073.13702459465,1069.59767521505,1109.14927523929,1074.1418581667,1218.52626594367
1684.91089241346,1767.65345539546,1763.29521078597,1640.88516721935,1356.01363591801,1410.84529262171
1048.2961960965,1069.12858781923,997.3120931451,1168.94590293646,1070.31466193379,1242.31049962682
1137.04465480387,1151.60505010961,1077.10446253642,1278.76088062904,1037.84128991396,1220.19444318587
1131.08572878175,1165.35039309044,1126.60495444731,1299.76929446174,1128.28991973122,1263.01351854032
1135.67959098695,1183.03838926901,1132.93712983676,1316.92275528046,1118.10276277432,1297.63132116431
